datum,modul,titel,lernziele
2025-09-23T00:00:00Z,1,Willkommen zum Kurs & Werkzeugkiste & Kollaboratives Arbeiten mit GitHub I,Die Lernenden können ein GitHub Issue öffnen und den Kursleiter markieren.
2025-09-23T00:00:00Z,1,Willkommen zum Kurs & Werkzeugkiste & Kollaboratives Arbeiten mit GitHub I,"Die Lernenden können ein Repository von GitHub klonen und das GitHub PAT verwenden, um einen Commit von ihrem lokalen Repository auf GitHub zu übertragen."
2025-09-23T00:00:00Z,1,Willkommen zum Kurs & Werkzeugkiste & Kollaboratives Arbeiten mit GitHub I,"Die Lernenden können vier Komponenten einer Quarto-Datei identifizieren (YAML, Code Chunk, R-Code, Markdown)."
2025-09-23T00:00:00Z,1,Willkommen zum Kurs & Werkzeugkiste & Kollaboratives Arbeiten mit GitHub I,Die Lernenden können die vier Fenster der RStudio IDE identifizieren.
2025-09-30T00:00:00Z,2,Explorative Datenanalyse durch Visualisierung & Digitaler Arbeitsplatz (DAP) & R-Community,Die Lernenden können beschreiben wie Variablen eines Datensatzes mittels des R-Package `ggplot2` den visuellen Eigenschaften eines Diagramms zugeordnet werden (EN: aesthetic mapping).
2025-09-30T00:00:00Z,2,Explorative Datenanalyse durch Visualisierung & Digitaler Arbeitsplatz (DAP) & R-Community,"Die Lernenden können die Skalierungen (Farbe, Achsen) eines Diagramms kontrollieren."
2025-09-30T00:00:00Z,2,Explorative Datenanalyse durch Visualisierung & Digitaler Arbeitsplatz (DAP) & R-Community,"Die Lernenden können drei verschiedene Diagrammtypen (Balkendiagramm, Histogramm, Punkt) und ihre Anwendungsfälle vergleichen."
2025-09-30T00:00:00Z,2,Explorative Datenanalyse durch Visualisierung & Digitaler Arbeitsplatz (DAP) & R-Community,Die Lernenden können den DAP navigieren um relevante Software selbst auf ihren Arbeitsgeräten zu installieren. Sie können sich das R-Bundle aus dem Serviceportal bestellen und wissen wie sie Probleme melden.
2025-10-07T00:00:00Z,3,Daten Transformation mit `dplyr`,"Die Lernenden können fünf Funktionen aus dem R-Paket `dplyr` anwenden, um eine Teilmenge von Daten zur Verwendung in einer Tabelle oder einem Diagramm zu erzeugen."
2025-10-07T00:00:00Z,3,Daten Transformation mit `dplyr`,"Die Lernenden können Funktionen aus dem R-Paket `dplyr` anwenden, um Daten mittels deskriptiver Statistik zusammenzufassen."
