stand,kanton,jahr,stufe,schultyp,geschlecht,staatsangehoerigkeit,traegerschaft,finanzierung,anzahl
2025-01-13,zh,2023,Primarstufe 1-2,Regelschule,weiblich,Schweiz,öffentlich,öffentlich,10879
2025-01-13,zh,2023,Primarstufe 1-2,Regelschule,weiblich,Ausland,öffentlich,öffentlich,4390
2025-01-13,zh,2023,Primarstufe 1-2,Regelschule,weiblich,Schweiz,privat,privat,589
2025-01-13,zh,2023,Primarstufe 1-2,Regelschule,weiblich,Ausland,privat,privat,426
2025-01-13,zh,2023,Primarstufe 1-2,Regelschule,männlich,Schweiz,öffentlich,öffentlich,11516
2025-01-13,zh,2023,Primarstufe 1-2,Regelschule,männlich,Ausland,öffentlich,öffentlich,4618
2025-01-13,zh,2023,Primarstufe 1-2,Regelschule,männlich,Schweiz,privat,privat,578
2025-01-13,zh,2023,Primarstufe 1-2,Regelschule,männlich,Ausland,privat,privat,429
2025-01-13,zh,2023,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Schweiz,öffentlich,öffentlich,31
2025-01-13,zh,2023,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Ausland,öffentlich,öffentlich,31
2025-01-13,zh,2023,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Schweiz,privat,öffentlich,22
2025-01-13,zh,2023,Primarstufe 1-2,Heim- und Sonderschule,weiblich,Ausland,privat,öffentlich,17
2025-01-13,zh,2023,Primarstufe 1-2,Heim- und Sonderschule,männlich,Schweiz,öffentlich,öffentlich,69
2025-01-13,zh,2023,Primarstufe 1-2,Heim- und Sonderschule,männlich,Ausland,öffentlich,öffentlich,67
2025-01-13,zh,2023,Primarstufe 1-2,Heim- und Sonderschule,männlich,Schweiz,privat,öffentlich,54
2025-01-13,zh,2023,Primarstufe 1-2,Heim- und Sonderschule,männlich,Ausland,privat,öffentlich,59
2025-01-13,zh,2023,Primarstufe 3-8,Regelschule,weiblich,Schweiz,öffentlich,öffentlich,33898
2025-01-13,zh,2023,Primarstufe 3-8,Regelschule,weiblich,Ausland,öffentlich,öffentlich,12646
2025-01-13,zh,2023,Primarstufe 3-8,Regelschule,weiblich,Schweiz,privat,privat,1430
2025-01-13,zh,2023,Primarstufe 3-8,Regelschule,weiblich,Ausland,privat,privat,985
2025-01-13,zh,2023,Primarstufe 3-8,Regelschule,männlich,Schweiz,öffentlich,öffentlich,35335
2025-01-13,zh,2023,Primarstufe 3-8,Regelschule,männlich,Ausland,öffentlich,öffentlich,12654
2025-01-13,zh,2023,Primarstufe 3-8,Regelschule,männlich,Schweiz,privat,privat,1688
2025-01-13,zh,2023,Primarstufe 3-8,Regelschule,männlich,Ausland,privat,privat,1179
2025-01-13,zh,2023,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Schweiz,öffentlich,öffentlich,122
2025-01-13,zh,2023,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Ausland,öffentlich,öffentlich,116
2025-01-13,zh,2023,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Schweiz,privat,öffentlich,162
2025-01-13,zh,2023,Primarstufe 3-8,Heim- und Sonderschule,weiblich,Ausland,privat,öffentlich,106
2025-01-13,zh,2023,Primarstufe 3-8,Heim- und Sonderschule,männlich,Schweiz,öffentlich,öffentlich,253
2025-01-13,zh,2023,Primarstufe 3-8,Heim- und Sonderschule,männlich,Ausland,öffentlich,öffentlich,182
2025-01-13,zh,2023,Primarstufe 3-8,Heim- und Sonderschule,männlich,Schweiz,privat,öffentlich,458
2025-01-13,zh,2023,Primarstufe 3-8,Heim- und Sonderschule,männlich,Ausland,privat,öffentlich,322
2025-01-13,zh,2023,Sekundarstufe I,Regelschule,weiblich,Schweiz,öffentlich,öffentlich,12435
2025-01-13,zh,2023,Sekundarstufe I,Regelschule,weiblich,Ausland,öffentlich,öffentlich,4343
2025-01-13,zh,2023,Sekundarstufe I,Regelschule,weiblich,Schweiz,privat,privat,1265
2025-01-13,zh,2023,Sekundarstufe I,Regelschule,weiblich,Ausland,privat,privat,574
2025-01-13,zh,2023,Sekundarstufe I,Regelschule,männlich,Schweiz,öffentlich,öffentlich,13331
2025-01-13,zh,2023,Sekundarstufe I,Regelschule,männlich,Ausland,öffentlich,öffentlich,4562
2025-01-13,zh,2023,Sekundarstufe I,Regelschule,männlich,Schweiz,privat,öffentlich,5
2025-01-13,zh,2023,Sekundarstufe I,Regelschule,männlich,Ausland,privat,öffentlich,5
2025-01-13,zh,2023,Sekundarstufe I,Regelschule,männlich,Schweiz,privat,privat,1483
2025-01-13,zh,2023,Sekundarstufe I,Regelschule,männlich,Ausland,privat,privat,688
2025-01-13,zh,2023,Sekundarstufe I,Mittelschule,weiblich,Schweiz,öffentlich,öffentlich,3867
2025-01-13,zh,2023,Sekundarstufe I,Mittelschule,weiblich,Ausland,öffentlich,öffentlich,641
2025-01-13,zh,2023,Sekundarstufe I,Mittelschule,weiblich,Schweiz,privat,privat,184
2025-01-13,zh,2023,Sekundarstufe I,Mittelschule,weiblich,Ausland,privat,privat,55
2025-01-13,zh,2023,Sekundarstufe I,Mittelschule,männlich,Schweiz,öffentlich,öffentlich,3444
2025-01-13,zh,2023,Sekundarstufe I,Mittelschule,männlich,Ausland,öffentlich,öffentlich,579
2025-01-13,zh,2023,Sekundarstufe I,Mittelschule,männlich,Schweiz,privat,privat,178
2025-01-13,zh,2023,Sekundarstufe I,Mittelschule,männlich,Ausland,privat,privat,69
2025-01-13,zh,2023,Sekundarstufe I,Heim- und Sonderschule,weiblich,Schweiz,öffentlich,öffentlich,51
2025-01-13,zh,2023,Sekundarstufe I,Heim- und Sonderschule,weiblich,Ausland,öffentlich,öffentlich,38
2025-01-13,zh,2023,Sekundarstufe I,Heim- und Sonderschule,weiblich,Schweiz,privat,öffentlich,137
2025-01-13,zh,2023,Sekundarstufe I,Heim- und Sonderschule,weiblich,Ausland,privat,öffentlich,55
2025-01-13,zh,2023,Sekundarstufe I,Heim- und Sonderschule,männlich,Schweiz,öffentlich,öffentlich,119
2025-01-13,zh,2023,Sekundarstufe I,Heim- und Sonderschule,männlich,Ausland,öffentlich,öffentlich,65
2025-01-13,zh,2023,Sekundarstufe I,Heim- und Sonderschule,männlich,Schweiz,privat,öffentlich,320
2025-01-13,zh,2023,Sekundarstufe I,Heim- und Sonderschule,männlich,Ausland,privat,öffentlich,191
2025-01-13,zh,2023,Sekundarstufe II,Mittelschule,weiblich,Schweiz,öffentlich,öffentlich,5292
2025-01-13,zh,2023,Sekundarstufe II,Mittelschule,weiblich,Ausland,öffentlich,öffentlich,914
2025-01-13,zh,2023,Sekundarstufe II,Mittelschule,weiblich,Schweiz,privat,privat,1014
2025-01-13,zh,2023,Sekundarstufe II,Mittelschule,weiblich,Ausland,privat,privat,609
2025-01-13,zh,2023,Sekundarstufe II,Mittelschule,männlich,Schweiz,öffentlich,öffentlich,4139
2025-01-13,zh,2023,Sekundarstufe II,Mittelschule,männlich,Ausland,öffentlich,öffentlich,763
2025-01-13,zh,2023,Sekundarstufe II,Mittelschule,männlich,Schweiz,privat,privat,793
2025-01-13,zh,2023,Sekundarstufe II,Mittelschule,männlich,Ausland,privat,privat,595
